label,area
1407,900.0
1408,21.0
1409,15.0
1410,15.0
1411,10.0
1412,2.0
1413,1.0
1414,2.0
1415,16.0
1416,7.0
1417,24.0
1418,1772.0
1419,31.0
1420,446.0
1421,40.0
1422,1.0
1423,589.0
1424,19350.0
1425,15527.0
1426,9.0
1427,122.0
1428,273.0
1429,463.0
1430,950.0
1431,585.0
1432,4.0
1433,5.0
1434,555.0
1435,6.0
1436,14.0
1437,1817.0
1438,2.0
1439,4.0
1440,5.0
1441,3.0
1442,1.0
1443,2.0
1444,3.0
1445,3.0
1446,2.0
1447,1893.0
1448,3.0
1449,2.0
1450,726.0
1451,3351.0
1452,4.0
1453,3222.0
1454,2.0
1455,2.0
1456,1.0
1457,3.0
1458,2.0
1459,1.0
1460,1.0
1461,163.0
1462,2.0
1463,2.0
1464,1.0
1465,8.0
1466,1.0
1467,1356.0
1468,3.0
1469,2.0
1470,2.0
1471,1.0
1472,2.0
1473,2.0
1474,2.0
1475,1.0
1476,3188.0
1477,1.0
1478,1.0
1479,4485.0
1480,2.0
1481,10.0
1482,3.0
1483,2.0
1484,2.0
1485,2.0
1486,1.0
1487,48.0
1488,4.0
1489,834.0
1490,1.0
1491,2826.0
1492,1.0
1493,16944.0
1494,2.0
1495,1.0
1496,1.0
1497,1.0
1498,4543.0
1499,1.0
1500,3172.0
1501,1.0
1502,2.0
1503,1.0
1504,1.0
1505,1.0
1506,1.0
1507,2.0
1508,2.0
1509,2.0
1510,1.0
1511,2.0
1512,1.0
1513,1.0
1514,1.0
1515,1.0
1516,1.0
1517,1.0
1518,1.0
1519,2.0
1520,2.0
1521,2.0
1522,2.0
1523,1.0
1524,2.0
1525,1.0
1526,1.0
1527,1.0
1528,2.0
1529,1.0
1530,2.0
1531,4.0
1532,4.0
1533,1.0
1534,1.0
1535,1933.0
1536,1.0
1537,1.0
1538,641.0
1539,2503.0
1540,1.0
1541,4.0
1542,1.0
1543,2.0
1544,1.0
1545,1.0
1546,1.0
1547,2.0
1548,1.0
1549,1.0
1550,1.0
1551,1.0
1552,4.0
1553,1.0
1554,1.0
1555,1.0
1556,3722.0
1557,4.0
1558,1.0
1559,1.0
1560,1.0
1561,1.0
1562,1.0
1563,1.0
1564,2.0
1565,1.0
1566,4069.0
1567,1.0
1568,1.0
1569,1.0
1570,1.0
1571,1.0
1572,1.0
1573,1.0
1574,1.0
1575,4.0
1576,5623.0
1577,1.0
1578,1.0
1579,1.0
1580,1.0
1581,1.0
1582,1.0
1583,1.0
1584,1.0
1585,2.0
1586,667.0
1587,1.0
1588,3362.0
1589,6990.0
1590,17.0
1591,1.0
1592,4180.0
1593,1.0
1594,1.0
1595,1.0
1596,1.0
1597,2.0
1598,1.0
1599,1.0
1600,1.0
1601,1.0
1602,1.0
1603,1.0
1604,1.0
1605,2362.0
1606,1.0
1607,1.0
1608,1.0
1609,1.0
1610,1.0
1611,1.0
1612,1.0
1613,1.0
1614,1.0
1615,1.0
1616,1.0
1617,1.0
1618,1.0
1619,1.0
1620,1.0
1621,1.0
1622,1849.0
1623,1.0
1624,1.0
1625,1.0
1626,1.0
1627,1.0
1628,2.0
1629,1.0
1630,1.0
1631,2.0
1632,1.0
1633,1.0
1634,1.0
1635,1.0
1636,1.0
1637,1.0
1638,1.0
1639,1.0
1640,1.0
1641,1.0
1642,1.0
1643,1.0
1644,1.0
1645,1.0
